year,sex,industry1,industry2,employment_status,employed
2010,male,manufacturing,manufacturing,employers,10800
2010,male,manufacturing,manufacturing,employees,170500
2010,male,manufacturing,manufacturing,own account workers,4400
2010,male,manufacturing,manufacturing,contributing family workers,400
2010,male,construction,construction,employers,11000
2010,male,construction,construction,employees,62000
2010,male,construction,construction,own account workers,7500
2010,male,construction,construction,contributing family workers,200
2010,male,services,wholesale and retail trade,employers,20600
2010,male,services,wholesale and retail trade,employees,104000
2010,male,services,wholesale and retail trade,own account workers,16400
2010,male,services,wholesale and retail trade,contributing family workers,1400
2010,male,services,transportation and storage,employers,4000
2010,male,services,transportation and storage,employees,97800
2010,male,services,transportation and storage,own account workers,44100
2010,male,services,transportation and storage,contributing family workers,0
2010,male,services,accommodation and food services,employers,5100
2010,male,services,accommodation and food services,employees,46900
2010,male,services,accommodation and food services,own account workers,6800
2010,male,services,accommodation and food services,contributing family workers,1400
2010,male,services,information and communications,employers,3800
2010,male,services,information and communications,employees,55300
2010,male,services,information and communications,own account workers,3500
2010,male,services,information and communications,contributing family workers,0
2010,male,services,financial and insurance services,employers,1800
2010,male,services,financial and insurance services,employees,48200
2010,male,services,financial and insurance services,own account workers,7100
2010,male,services,financial and insurance services,contributing family workers,0
2010,male,services,real estate services,employers,800
2010,male,services,real estate services,employees,11300
2010,male,services,real estate services,own account workers,7700
2010,male,services,real estate services,contributing family workers,0
2010,male,services,professional services,employers,7100
2010,male,services,professional services,employees,45800
2010,male,services,professional services,own account workers,5400
2010,male,services,professional services,contributing family workers,100
2010,male,services,administrative and support services,employers,3200
2010,male,services,administrative and support services,employees,49100
2010,male,services,administrative and support services,own account workers,3000
2010,male,services,administrative and support services,contributing family workers,100
2010,male,services,public administration and education,employers,1000
2010,male,services,public administration and education,employees,136100
2010,male,services,public administration and education,own account workers,5500
2010,male,services,public administration and education,contributing family workers,0
2010,male,services,health and social services,employers,2500
2010,male,services,health and social services,employees,17700
2010,male,services,health and social services,own account workers,900
2010,male,services,health and social services,contributing family workers,0
2010,male,services,"arts, entertainment and recreation",employers,700
2010,male,services,"arts, entertainment and recreation",employees,14800
2010,male,services,"arts, entertainment and recreation",own account workers,1600
2010,male,services,"arts, entertainment and recreation",contributing family workers,0
2010,male,services,"other community, social and personal services",employers,3800
2010,male,services,"other community, social and personal services",employees,19800
2010,male,services,"other community, social and personal services",own account workers,5100
2010,male,services,"other community, social and personal services",contributing family workers,100
2010,male,others,others,employers,1700
2010,male,others,others,employees,24900
2010,male,others,others,own account workers,1400
2010,male,others,others,contributing family workers,100
2010,female,manufacturing,manufacturing,employers,2100
2010,female,manufacturing,manufacturing,employees,101500
